$contributor.employer.matched
                                                   (Intercept)    cycle2020
'mktg, inc.'                                     -0.2188670933 0.0004840761
@ROAD, INC                                       -0.1683752626 0.0004840761
1 800 CONTACTS INC                               -0.2163178127 0.0004840761
1 800 FLOWERS COM INC                            -0.2016314296 0.0004840761
10x Genomics, Inc.                               -0.3214113958 0.0004840761
111, Inc.                                        -0.1133510393 0.0004840761
1701 Productions, Inc.                           -0.3446066334 0.0004840761
1Life Healthcare Inc                             -0.2538979693 0.0004840761
1PM Industries                                   -0.3032358967 0.0004840761
1st FRANKLIN FINANCIAL CORP                       0.8309087824 0.0004840761
1ST SOURCE CORP                                  -0.1424480875 0.0004840761
1ST STEP INC                                     -0.2015780072 0.0004840761
21ST CENTURY FOX AMERICA, INC.                   -0.3045652556 0.0004840761
22nd Century Group, Inc.                         -0.1874469637 0.0004840761
2ND SWING INC                                    -0.2005577770 0.0004840761
2seventy bio, Inc.                               -0.1643000140 0.0004840761
2U, LLC                                          -0.2109896563 0.0004840761
360 COMMUNICATIONS CO                             0.8051297240 0.0004840761
360NETWORKS INC                                  -0.2507240354 0.0004840761
3AM TECHNOLOGIES INC                             -0.0984822316 0.0004840761
3COM CORP                                        -0.1696578709 0.0004840761
3D SYSTEMS CORP                                  -0.1042021156 0.0004840761
3DX Industries, Inc.                             -0.2522882330 0.0004840761
3DX TECHNOLOGIES INC                             -0.2815331038 0.0004840761
3FORCES INC.                                     -0.1357598430 0.0004840761
3M CO                                            -0.2104392197 0.0004840761
4D Molecular Therapeutics, Inc.                  -0.2363236622 0.0004840761
4Front Ventures Corp.                            -0.0784827176 0.0004840761
4G ENTERPRISES,INC.                               0.0625119331 0.0004840761
7 ELEVEN INC                                     -0.3078149442 0.0004840761
724 SOLUTIONS INC                                -0.0856903472 0.0004840761
8 Corp.                                          -0.1936689014 0.0004840761
808 RENEWABLE ENERGY CORP                         0.6682821284 0.0004840761
89bio, Inc.                                      -0.2092245559 0.0004840761
8tracks, Inc.                                    -0.2979254169 0.0004840761
908 Devices Inc.                                 -0.2365019244 0.0004840761
