$contributor.employer.matched
                                                   (Intercept)    cycle2020
'mktg, inc.'                                     -0.2188658346 0.0004838053
@ROAD, INC                                       -0.1683634814 0.0004838053
1 800 CONTACTS INC                               -0.2163159103 0.0004838053
1 800 FLOWERS COM INC                            -0.2016292215 0.0004838053
10x Genomics, Inc.                               -0.3214101886 0.0004838053
111, Inc.                                        -0.1133479947 0.0004838053
1701 Productions, Inc.                           -0.3446034189 0.0004838053
1Life Healthcare Inc                             -0.2538949604 0.0004838053
1PM Industries                                   -0.3032168978 0.0004838053
1st FRANKLIN FINANCIAL CORP                       0.8309040191 0.0004838053
1ST SOURCE CORP                                  -0.1424459797 0.0004838053
1ST STEP INC                                     -0.2015654198 0.0004838053
21ST CENTURY FOX AMERICA, INC.                   -0.3045519539 0.0004838053
22nd Century Group, Inc.                         -0.1874319111 0.0004838053
2ND SWING INC                                    -0.2005406562 0.0004838053
2seventy bio, Inc.                               -0.1642943968 0.0004838053
2U, LLC                                          -0.2109892247 0.0004838053
360 COMMUNICATIONS CO                             0.8049859236 0.0004838053
360NETWORKS INC                                  -0.2506989088 0.0004838053
3AM TECHNOLOGIES INC                             -0.0984817484 0.0004838053
3COM CORP                                        -0.1696559793 0.0004838053
3D SYSTEMS CORP                                  -0.1042017337 0.0004838053
3DX Industries, Inc.                             -0.2522629003 0.0004838053
3DX TECHNOLOGIES INC                             -0.2815030905 0.0004838053
3FORCES INC.                                     -0.1357532919 0.0004838053
3M CO                                            -0.2104385144 0.0004838053
4D Molecular Therapeutics, Inc.                  -0.2363207347 0.0004838053
4Front Ventures Corp.                            -0.0784825926 0.0004838053
4G ENTERPRISES,INC.                               0.0624939815 0.0004838053
7 ELEVEN INC                                     -0.3078142170 0.0004838053
724 SOLUTIONS INC                                -0.0856917885 0.0004838053
8 Corp.                                          -0.1936528696 0.0004838053
808 RENEWABLE ENERGY CORP                         0.6681600630 0.0004838053
89bio, Inc.                                      -0.2092178705 0.0004838053
8tracks, Inc.                                    -0.2979102012 0.0004838053
908 Devices Inc.                                 -0.2364999724 0.0004838053
99 CENTS ONLY STORES LLC                         -0.0348957929 0.0004838053
9F Inc.                                          -0.1569941267 0.0004838053
A PEA IN THE POD INC                             -0.1340098101 0.0004838053
A REIT INC                                       -0.1864633110 0.0004838053
A. M. Castle & Co.                               -0.1977499399 0.0004838053
A1 Group, Inc.                                   -0.2105981612 0.0004838053
A10 CAPITAL LLC                                  -0.4188994796 0.0004838053
A10 Networks, Inc.                               -0.1783648070 0.0004838053
a21, Inc.                                        -0.3325368078 0.0004838053
AA CONSULTING INC                                -0.2442065260 0.0004838053
AAC Holdings, Inc.                               -0.3868101740 0.0004838053
AAIPHARMA INC                                    -0.1436565769 0.0004838053
AAON, INC.                                        0.5844787388 0.0004838053
AAR CORP                                          0.0981328967 0.0004838053
ABATIX CORP                                       0.4740135671 0.0004838053
ABAXIS INC                                       -0.3424150366 0.0004838053
ABB LTD                                          -0.1547003121 0.0004838053
ABBOTT LABORATORIES                              -0.2345498286 0.0004838053
ABBOTT MEDICAL OPTICS INC                        -0.3170209580 0.0004838053
AbbVie Inc.                                      -0.2019337979 0.0004838053
Abcam plc                                        -0.3029661222 0.0004838053
ABCO INC                                         -0.1977999632 0.0004838053
ABEONA THERAPEUTICS INC.                         -0.2229377057 0.0004838053
ABERCROMBIE & FITCH CO                           -0.3154187235 0.0004838053
Ability Inc.                                     -0.2391869092 0.0004838053
ABIOMED INC                                       0.0625176436 0.0004838053
Able Brands Co.                                  -0.2092422418 0.0004838053
ABLE ENERGY INC                                  -0.2783095607 0.0004838053
Ablynx NV                                        -0.2693143311 0.0004838053
ABOUT, INC.                                      -0.0179744206 0.0004838053
Abpro Corp                                       -0.2239597898 0.0004838053
ABRAXAS PETROLEUM CORP                            1.2148905371 0.0004838053
ABS GROUP INC                                    -0.3789854470 0.0004838053
Absci Corp                                       -0.2598066609 0.0004838053
ABSOLUTE ENTERTAINMENT INC                       -0.1334033928 0.0004838053
ABSOLUTE SOFTWARE CORP                           -0.2018668420 0.0004838053
ABV CONSULTING, INC.                             -0.2133709722 0.0004838053
AC Partners, Inc.                                -0.0865705065 0.0004838053
Acacia Communications, Inc.                      -0.1659571003 0.0004838053
Academy Sports & Outdoors, Inc.                  -0.4255422843 0.0004838053
ACADIA GROUP INC                                 -0.3928976573 0.0004838053
Acadia Healthcare Company, Inc.                   0.0795494471 0.0004838053
ACADIA PHARMACEUTICALS INC                       -0.2143128034 0.0004838053
ACADIA REALTY TRUST                              -0.2185598386 0.0004838053
Acadian Asset Management Inc.                    -0.1215843033 0.0004838053
Acadian Inc                                      -0.3131208474 0.0004838053
ACAP CORP                                        -0.3054849153 0.0004838053
ACC CORP                                         -0.2317731519 0.0004838053
Accel Entertainment, Inc.                        -0.0298729186 0.0004838053
ACCEL INTERNATIONAL CORP                          0.0986483945 0.0004838053
Accelerant Holdings                              -0.1537885639 0.0004838053
Accelerate Diagnostics, Inc                      -0.2723175492 0.0004838053
ACCELERON PHARMA INC                             -0.3532810471 0.0004838053
ACCELLENT LLC                                    -0.2839126802 0.0004838053
ACCELRYS, INC.                                    0.5922577119 0.0004838053
ACCENTURE LTD                                    -0.2673528198 0.0004838053
ACCEPTANCE INSURANCE CO                          -0.0086775554 0.0004838053
ACCESS CORP                                      -0.1193687114 0.0004838053
ACCESS GROUP INC                                 -0.0055814433 0.0004838053
ACCESS HEALTH INC                                -0.2040433736 0.0004838053
ACCESS NATIONAL CORP                             -0.0789106259 0.0004838053
ACCESSLEX INSTITUTE                              -0.3214749878 0.0004838053
Acclarent Inc                                     0.0790979270 0.0004838053
ACCO BRANDS Corp                                 -0.2687537961 0.0004838053
Accolade, Inc.                                   -0.2707653614 0.0004838053
ACCREDITED HOME LENDERS INC                      -0.3270664216 0.0004838053
ACCREDO HEALTH INC                               -0.2598376350 0.0004838053
ACCUHEALTH INC                                   -0.1254952950 0.0004838053
ACCURAY INC                                      -0.3650073666 0.0004838053
ACCURIDE CORP                                    -0.2088232613 0.0004838053
ACE HARDWARE CORP                                -0.2461647408 0.0004838053
ACELL INC                                        -0.1261184283 0.0004838053
ACELYRIN, Inc.                                   -0.1475241675 0.0004838053
Acer Therapeutics Inc.                           -0.3839455264 0.0004838053
ACETO CORP                                        0.7120983754 0.0004838053
ACF INDUSTRIES INC                               -0.0858504445 0.0004838053
ACG HOLDINGS INC                                  0.1058908801 0.0004838053
Achaogen, Inc.                                   -0.2065571487 0.0004838053
ACHILLION PHARMACEUTICALS INC                    -0.2524324833 0.0004838053
ACI WORLDWIDE, INC.                              -0.1286768715 0.0004838053
ACIES CORP                                       -0.1858846981 0.0004838053
Aclaris Therapeutics, Inc.                        0.1526569415 0.0004838053
ACM Corp                                         -0.0447237300 0.0004838053
ACME Aerospace, Inc.                             -0.2585920446 0.0004838053
ACME ATRONOMATIC INC                             -0.3924419257 0.0004838053
