$contributor.employer.matched
                                                   (Intercept)  cycle2020
'mktg, inc.'                                     -0.3621021439 0.08296017
@ROAD, INC                                       -0.3256031930 0.08296017
1 800 CONTACTS INC                               -0.3552351472 0.08296017
1 800 FLOWERS COM INC                            -0.3571225040 0.08296017
10x Genomics, Inc.                               -0.4743278981 0.08296017
111, Inc.                                        -0.2627867187 0.08296017
1701 Productions, Inc.                           -0.4550926895 0.08296017
1Life Healthcare Inc                             -0.4019462130 0.08296017
1PM Industries                                   -0.4594912613 0.08296017
1st FRANKLIN FINANCIAL CORP                       0.7219709384 0.08296017
1ST SOURCE CORP                                  -0.3334419429 0.08296017
1ST STEP INC                                     -0.3640760351 0.08296017
21ST CENTURY FOX AMERICA, INC.                   -0.4459210500 0.08296017
22nd Century Group, Inc.                         -0.3512033214 0.08296017
2ND SWING INC                                    -0.3868218027 0.08296017
2seventy bio, Inc.                               -0.3230549918 0.08296017
2U, LLC                                          -0.3728790322 0.08296017
360 COMMUNICATIONS CO                             0.6281520199 0.08296017
360NETWORKS INC                                  -0.4130395946 0.08296017
3AM TECHNOLOGIES INC                             -0.2605670235 0.08296017
3COM CORP                                        -0.2890596084 0.08296017
3D SYSTEMS CORP                                  -0.2685733584 0.08296017
3DX Industries, Inc.                             -0.4122914389 0.08296017
3DX TECHNOLOGIES INC                             -0.4388520758 0.08296017
3FORCES INC.                                     -0.2938490605 0.08296017
3M CO                                            -0.3725689675 0.08296017
4D Molecular Therapeutics, Inc.                  -0.3966740156 0.08296017
4Front Ventures Corp.                            -0.3858350791 0.08296017
4G ENTERPRISES,INC.                              -0.0539180833 0.08296017
7 ELEVEN INC                                     -0.4384957330 0.08296017
724 SOLUTIONS INC                                -0.2446106999 0.08296017
8 Corp.                                          -0.3571502619 0.08296017
808 RENEWABLE ENERGY CORP                         0.4991129779 0.08296017
89bio, Inc.                                      -0.4261957011 0.08296017
8tracks, Inc.                                    -0.4257705334 0.08296017
908 Devices Inc.                                 -0.4215219771 0.08296017
99 CENTS ONLY STORES LLC                         -0.1786773664 0.08296017
9F Inc.                                          -0.3189574266 0.08296017
A PEA IN THE POD INC                             -0.2982885058 0.08296017
A REIT INC                                       -0.3453668550 0.08296017
A. M. Castle & Co.                               -0.3563172773 0.08296017
A1 Group, Inc.                                   -0.3692639996 0.08296017
A10 CAPITAL LLC                                  -0.5779412990 0.08296017
