$contributor.employer.matched
                                                   (Intercept)  cycle2020
'mktg, inc.'                                     -0.3621012194 0.08296006
@ROAD, INC                                       -0.3255927607 0.08296006
1 800 CONTACTS INC                               -0.3552337163 0.08296006
1 800 FLOWERS COM INC                            -0.3571206538 0.08296006
10x Genomics, Inc.                               -0.4743269550 0.08296006
111, Inc.                                        -0.2627867294 0.08296006
1701 Productions, Inc.                           -0.4550901063 0.08296006
1Life Healthcare Inc                             -0.4019435933 0.08296006
1PM Industries                                   -0.4594724818 0.08296006
1st FRANKLIN FINANCIAL CORP                       0.7219652995 0.08296006
1ST SOURCE CORP                                  -0.3334392891 0.08296006
1ST STEP INC                                     -0.3640636132 0.08296006
21ST CENTURY FOX AMERICA, INC.                   -0.4459089146 0.08296006
22nd Century Group, Inc.                         -0.3511883530 0.08296006
2ND SWING INC                                    -0.3868008881 0.08296006
2seventy bio, Inc.                               -0.3230500110 0.08296006
2U, LLC                                          -0.3728788899 0.08296006
360 COMMUNICATIONS CO                             0.6280019622 0.08296006
360NETWORKS INC                                  -0.4130142606 0.08296006
3AM TECHNOLOGIES INC                             -0.2605670453 0.08296006
3COM CORP                                        -0.2890589411 0.08296006
3D SYSTEMS CORP                                  -0.2685732798 0.08296006
3DX Industries, Inc.                             -0.4122662797 0.08296006
3DX TECHNOLOGIES INC                             -0.4388224281 0.08296006
3FORCES INC.                                     -0.2938439835 0.08296006
3M CO                                            -0.3725685343 0.08296006
4D Molecular Therapeutics, Inc.                  -0.3966713214 0.08296006
4Front Ventures Corp.                            -0.3858317493 0.08296006
4G ENTERPRISES,INC.                              -0.0539434153 0.08296006
7 ELEVEN INC                                     -0.4384952436 0.08296006
724 SOLUTIONS INC                                -0.2446139010 0.08296006
8 Corp.                                          -0.3571343082 0.08296006
808 RENEWABLE ENERGY CORP                         0.4989845033 0.08296006
89bio, Inc.                                      -0.4261861019 0.08296006
8tracks, Inc.                                    -0.4257576746 0.08296006
908 Devices Inc.                                 -0.4215200466 0.08296006
99 CENTS ONLY STORES LLC                         -0.1786779128 0.08296006
