$contributor.employer.matched
                                              (Intercept)  cycle2020
@ROAD, INC                                  -0.4733642248 0.07838962
2U, LLC                                     -0.5408900746 0.07838962
3AM TECHNOLOGIES INC                        -0.4330062881 0.07838962
3COM CORP                                   -0.5073713982 0.07838962
3D SYSTEMS CORP                             -0.4283745676 0.07838962
3FORCES INC.                                -0.4471368032 0.07838962
724 SOLUTIONS INC                           -0.4123993636 0.07838962
A10 Networks, Inc.                          -0.4945972812 0.07838962
Ability Inc.                                -0.5685164966 0.07838962
ABOUT, INC.                                 -0.3757553130 0.07838962
ABSOLUTE ENTERTAINMENT INC                  -0.4588287727 0.07838962
ABSOLUTE SOFTWARE CORP                      -0.5336659358 0.07838962
Acacia Communications, Inc.                 -0.4912107286 0.07838962
ACCELRYS, INC.                               0.2621664609 0.07838962
ACCESS CORP                                 -0.4521001814 0.07838962
ACI WORLDWIDE, INC.                         -0.4625682167 0.07838962
ACME PACKET INC                             -0.4620733135 0.07838962
ACT MANUFACTURING INC                       -0.6359181893 0.07838962
ACT NETWORKS INC                            -0.4463374889 0.07838962
ACTIVE NETWORK INC                          -0.5170351063 0.07838962
ACTIVECARE, INC.                            -0.4634973122 0.07838962
Activision Blizzard, Inc.                   -0.5310463820 0.07838962
ACTUATE CORP                                -0.3967450465 0.07838962
ADAM INC                                    -0.2274433692 0.07838962
ADAPTIVE INSIGHTS INC                       -0.6039255207 0.07838962
ADAPTIVE SOLUTIONS INC                      -0.5434356725 0.07838962
ADESTO TECHNOLOGIES Corp                    -0.4631467878 0.07838962
ADOBE INC.                                  -0.4887532758 0.07838962
ADVA INTERNATIONAL INC                      -0.3474373869 0.07838962
ADVANCE CIRCUITS INC                        -0.4764571699 0.07838962
ADVANCED COMMUNICATION SYSTEMS INC          -0.5400523781 0.07838962
ADVANCED ENERGY INDUSTRIES INC              -0.5084389341 0.07838962
ADVANCED MEDIA INC                          -0.4907337947 0.07838962
ADVANCED MICRO DEVICES INC                  -0.4684781147 0.07838962
ADVANCED PHOTONIX INC                       -0.4895225542 0.07838962
Advanced Resources Group, Ltd.              -0.4902198390 0.07838962
ADVANTEST CORP                              -0.4148445393 0.07838962
Aegis Identity Software, Inc.               -0.5156861769 0.07838962
AEL INDUSTRIES INC                          -0.5429143308 0.07838962
AEROFLEX INC                                -0.4016138605 0.07838962
AEROHIVE NETWORKS, INC                      -0.2188480047 0.07838962
AESP INC                                    -0.5488223921 0.07838962
Afiniti, Ltd.                               -0.4488159846 0.07838962
AFN INC                                     -0.0493223206 0.07838962
AFR Inc.                                    -0.5544330098 0.07838962
AGILE SOFTWARE CORP                         -0.5194404190 0.07838962
AGILYSYS INC                                -0.4751581937 0.07838962
Agora, Inc.                                 -0.5761224734 0.07838962
AIRGAIN INC                                 -0.4385508897 0.07838962
AIRSPAN NETWORKS INC                        -0.0904852381 0.07838962
AIRVANA INC                                 -0.5461444446 0.07838962
Alarum Technologies Ltd.                    -0.4888286164 0.07838962
ALCATEL LUCENT                              -0.5300755832 0.07838962
ALCATEL-LUCENT USA INC.                     -0.5513933543 0.07838962
Alfi, Inc.                                  -0.3245393033 0.07838962
Alien Technology Corp                       -0.2683825338 0.07838962
ALKAMI TECHNOLOGY, INC.                     -0.5842780281 0.07838962
ALLAIRE CORP                                -0.4854748519 0.07838962
ALLEGRO MICROSYSTEMS, INC.                  -0.3821966283 0.07838962
Allot Ltd.                                  -0.4709248026 0.07838962
ALPHA & OMEGA SEMICONDUCTOR Ltd              0.2524109364 0.07838962
Alphabet Inc.                               -0.4639860127 0.07838962
ALPS ALPINE CO., LTD.                       -0.4799285510 0.07838962
ALR TECHNOLOGIES INC.                       -0.5581440778 0.07838962
Altair Engineering Inc.                     -0.4987234670 0.07838962
ALTERA CORP                                 -0.4769678831 0.07838962
Alteryx, Inc.                               -0.5082533942 0.07838962
ALTIGEN COMMUNICATIONS INC                  -0.5527856471 0.07838962
ALTRON INC                                  -0.5414690232 0.07838962
AM COMMUNICATIONS INC                       -0.3274779402 0.07838962
AMANDA CO INC                               -0.3271460843 0.07838962
AMBARELLA INC                               -0.4396656346 0.07838962
Amber Road, Inc.                            -0.3545053403 0.07838962
Ambiq Micro, Inc.                           -0.0715216910 0.07838962
AMDOCS LTD                                  -0.4695281628 0.07838962
AMERICAN ELECTRONIC COMPONENTS INC           0.2988183506 0.07838962
AMERICAN TECHNICAL CERAMICS CORP            -0.4630145863 0.07838962
AMERICAN TOWER CORP                         -0.4637646156 0.07838962
Amesite Inc.                                -0.1455627818 0.07838962
AMICAS, Inc.                                -0.4841632531 0.07838962
AMIS HOLDINGS INC                           -0.2683007948 0.07838962
AMKOR TECHNOLOGY, INC.                      -0.4949864339 0.07838962
AMP INC                                     -0.2789816570 0.07838962
AMPEX CORP                                  -0.5205145738 0.07838962
Amplitude, Inc.                             -0.5007352728 0.07838962
ANADIGICS INC                               -0.3511757062 0.07838962
ANALEX CORP                                 -0.4174482092 0.07838962
ANALOG DEVICES INC                          -0.4319917478 0.07838962
ANALYSTS INTERNATIONAL CORP                 -0.5637315364 0.07838962
ANALYTICAL GRAPHICS INC                     -0.5526375524 0.07838962
Anaplan, Inc.                               -0.4378514203 0.07838962
ANAREN  INC                                 -0.5189887062 0.07838962
ANSA COMMUNICATIONS INC                     -0.4424551963 0.07838962
Answers CORP                                -0.5966427224 0.07838962
ANSYS INC                                   -0.4319608312 0.07838962
ANTEC CORP                                  -0.4558086238 0.07838962
AOL LLC                                     -0.5482118826 0.07838962
APERTURE TECHNOLOGIES INC                   -0.4561491921 0.07838962
APEX INC                                    -0.4305450272 0.07838962
API Technologies Corp.                      -0.7687493004 0.07838962
