$contributor.employer.matched
                                              (Intercept)  cycle2020
@ROAD, INC                                  -0.4733238200 0.07838961
2U, LLC                                     -0.5408887478 0.07838961
3AM TECHNOLOGIES INC                        -0.4330035937 0.07838961
3COM CORP                                   -0.5073592754 0.07838961
3D SYSTEMS CORP                             -0.4283735134 0.07838961
3FORCES INC.                                -0.4471183861 0.07838961
724 SOLUTIONS INC                           -0.4124099729 0.07838961
A10 Networks, Inc.                          -0.4945939762 0.07838961
Ability Inc.                                -0.5684993599 0.07838961
ABOUT, INC.                                 -0.3757608777 0.07838961
ABSOLUTE ENTERTAINMENT INC                  -0.4588005073 0.07838961
ABSOLUTE SOFTWARE CORP                      -0.5336553940 0.07838961
Acacia Communications, Inc.                 -0.4912072723 0.07838961
ACCELRYS, INC.                               0.2620738616 0.07838961
ACCESS CORP                                 -0.4520989442 0.07838961
ACI WORLDWIDE, INC.                         -0.4625668731 0.07838961
ACME PACKET INC                             -0.4620423500 0.07838961
ACT MANUFACTURING INC                       -0.6358837597 0.07838961
ACT NETWORKS INC                            -0.4463197034 0.07838961
ACTIVE NETWORK INC                          -0.5170322954 0.07838961
ACTIVECARE, INC.                            -0.4634799601 0.07838961
Activision Blizzard, Inc.                   -0.5310444253 0.07838961
ACTUATE CORP                                -0.3967628327 0.07838961
ADAM INC                                    -0.2274693878 0.07838961
ADAPTIVE INSIGHTS INC                       -0.6039004562 0.07838961
ADAPTIVE SOLUTIONS INC                      -0.5433904175 0.07838961
ADESTO TECHNOLOGIES Corp                    -0.4631265408 0.07838961
ADOBE INC.                                  -0.4887521267 0.07838961
ADVA INTERNATIONAL INC                      -0.3475024189 0.07838961
ADVANCE CIRCUITS INC                        -0.4764463839 0.07838961
ADVANCED COMMUNICATION SYSTEMS INC          -0.5399783344 0.07838961
ADVANCED ENERGY INDUSTRIES INC              -0.5084336188 0.07838961
ADVANCED MEDIA INC                          -0.4906991420 0.07838961
ADVANCED MICRO DEVICES INC                  -0.4684765953 0.07838961
ADVANCED PHOTONIX INC                       -0.4894686420 0.07838961
Advanced Resources Group, Ltd.              -0.4901652720 0.07838961
ADVANTEST CORP                              -0.4148439081 0.07838961
Aegis Identity Software, Inc.               -0.5156104213 0.07838961
AEL INDUSTRIES INC                          -0.5428384971 0.07838961
AEROFLEX INC                                -0.4016155901 0.07838961
AEROHIVE NETWORKS, INC                      -0.2188843219 0.07838961
AESP INC                                    -0.5487959462 0.07838961
Afiniti, Ltd.                               -0.4488136450 0.07838961
AFN INC                                     -0.0493357009 0.07838961
AFR Inc.                                    -0.5544249213 0.07838961
AGILE SOFTWARE CORP                         -0.5193614446 0.07838961
AGILYSYS INC                                -0.4751565469 0.07838961
Agora, Inc.                                 -0.5761182247 0.07838961
AIRGAIN INC                                 -0.4385467654 0.07838961
AIRSPAN NETWORKS INC                        -0.0906999295 0.07838961
AIRVANA INC                                 -0.5460980834 0.07838961
Alarum Technologies Ltd.                    -0.4887752750 0.07838961
ALCATEL LUCENT                              -0.5300740498 0.07838961
ALCATEL-LUCENT USA INC.                     -0.5513509833 0.07838961
Alfi, Inc.                                  -0.3246233795 0.07838961
Alien Technology Corp                       -0.2684505643 0.07838961
ALKAMI TECHNOLOGY, INC.                     -0.5842688063 0.07838961
ALLAIRE CORP                                -0.4854243619 0.07838961
ALLEGRO MICROSYSTEMS, INC.                  -0.3821969625 0.07838961
Allot Ltd.                                  -0.4708864134 0.07838961
ALPHA & OMEGA SEMICONDUCTOR Ltd              0.2518439107 0.07838961
Alphabet Inc.                               -0.4639848115 0.07838961
ALPS ALPINE CO., LTD.                       -0.4798931084 0.07838961
ALR TECHNOLOGIES INC.                       -0.5581077401 0.07838961
Altair Engineering Inc.                     -0.4987213444 0.07838961
ALTERA CORP                                 -0.4769644665 0.07838961
Alteryx, Inc.                               -0.5082517155 0.07838961
ALTIGEN COMMUNICATIONS INC                  -0.5527368944 0.07838961
ALTRON INC                                  -0.5414244556 0.07838961
AM COMMUNICATIONS INC                       -0.3274850754 0.07838961
AMANDA CO INC                               -0.3271619171 0.07838961
AMBARELLA INC                               -0.4396635964 0.07838961
Amber Road, Inc.                            -0.3545141769 0.07838961
Ambiq Micro, Inc.                           -0.0717053206 0.07838961
AMDOCS LTD                                  -0.4695269160 0.07838961
AMERICAN ELECTRONIC COMPONENTS INC           0.2982124964 0.07838961
AMERICAN TECHNICAL CERAMICS CORP            -0.4630064930 0.07838961
AMERICAN TOWER CORP                         -0.4637633161 0.07838961
Amesite Inc.                                -0.1456676690 0.07838961
AMICAS, Inc.                                -0.4841137150 0.07838961
AMIS HOLDINGS INC                           -0.2684012127 0.07838961
AMKOR TECHNOLOGY, INC.                      -0.4949797287 0.07838961
AMP INC                                     -0.2789829069 0.07838961
AMPEX CORP                                  -0.5204821452 0.07838961
Amplitude, Inc.                             -0.5007322330 0.07838961
ANADIGICS INC                               -0.3512138035 0.07838961
ANALEX CORP                                 -0.4174509127 0.07838961
ANALOG DEVICES INC                          -0.4319906367 0.07838961
ANALYSTS INTERNATIONAL CORP                 -0.5637160503 0.07838961
ANALYTICAL GRAPHICS INC                     -0.5526264549 0.07838961
Anaplan, Inc.                               -0.4378502011 0.07838961
ANAREN  INC                                 -0.5189525285 0.07838961
ANSA COMMUNICATIONS INC                     -0.4424405893 0.07838961
Answers CORP                                -0.5966131857 0.07838961
ANSYS INC                                   -0.4319597784 0.07838961
ANTEC CORP                                  -0.4557923217 0.07838961
AOL LLC                                     -0.5482097918 0.07838961
APERTURE TECHNOLOGIES INC                   -0.4561232500 0.07838961
APEX INC                                    -0.4305440077 0.07838961
API Technologies Corp.                      -0.7687277399 0.07838961
Apigee Corp                                 -0.6177562500 0.07838961
APPDYNAMICS INC                             -0.5008427033 0.07838961
APPFOLIO INC                                -0.5187110992 0.07838961
Appgate, Inc.                               -0.4106936966 0.07838961
APPIAN, INC.                                -0.4304730636 0.07838961
Apple Inc.                                  -0.5144491080 0.07838961
APPLIED ENERGETICS, INC.                    -0.4250248021 0.07838961
APPLIED INNOVATION INC                       0.4099687158 0.07838961
APPLIED MICRO CIRCUITS CORP                 -0.5412575367 0.07838961
APPLIED OPTOELECTRONICS, INC.               -0.6923034725 0.07838961
APPLIED SYSTEMS INC                         -0.5180372383 0.07838961
AppLovin Corp                               -0.4792370283 0.07838961
Apptio Inc                                  -0.4795855746 0.07838961
APRECIA INC                                 -0.3817299769 0.07838961
Aprimo, INC                                 -0.5751222967 0.07838961
Apttus Corp                                 -0.4599710469 0.07838961
APTUS CORP                                  -0.2436893006 0.07838961
AQUANTIA CORP                               -0.5430358807 0.07838961
ARIBA INC                                   -0.5390758071 0.07838961
ARIEL CORP                                   0.5182196732 0.07838961
ARIS CORP/                                  -0.5432465249 0.07838961
Arise Technologies Inc.                     -0.3497313901 0.07838961
Arista Networks, Inc.                       -0.4462474874 0.07838961
ARKONA INC                                  -0.4864052249 0.07838961
ARM HOLDINGS PLC                            -0.4213904336 0.07838961
Array Technologies, Inc.                    -0.5641501042 0.07838961
ARRIS GROUP INC                             -0.6700059957 0.07838961
ARRIS International plc                     -0.5162722439 0.07838961
Arteris, Inc.                               -0.3598386059 0.07838961
ARUBA NETWORKS, INC.                        -0.5858347292 0.07838961
ASA INTERNATIONAL LTD                       -0.1798864162 0.07838961
Asana, Inc.                                 -0.4931185657 0.07838961
Ascent Solar Technologies, Inc.             -0.4760315958 0.07838961
ASPECT DEVELOPMENT INC                      -0.4510773082 0.07838961
Aspect Software, Inc.                       -0.5177067912 0.07838961
Aspen Technology, Inc.                      -0.4699740383 0.07838961
ASPENTECH Corp                              -0.4959815678 0.07838961
ASTEA INTERNATIONAL INC                     -0.4627269563 0.07838961
Astera Labs, Inc.                           -0.4622627099 0.07838961
AstroNova, Inc.                             -0.5906741916 0.07838961
ASURE SOFTWARE INC                          -0.4791144531 0.07838961
AT COMM CORP                                 0.2030795091 0.07838961
AT HOME CORP                                -0.1507983501 0.07838961
Atakama Inc.                                -0.4299396161 0.07838961
ATARI CORP                                  -0.3599063283 0.07838961
ATI TECHNOLOGIES INC                        -0.5032117037 0.07838961
ATL PRODUCTS INC                            -0.3926674480 0.07838961
Atlassian Corp                              -0.5052104412 0.07838961
ATMEL CORP                                  -0.5086464792 0.07838961
AtomBeam Technologies Inc.                  -0.4511959998 0.07838961
Atomera Inc                                 -0.5411101184 0.07838961
ATTACHMATE CORP                             -0.3828366547 0.07838961
ATTUNITY LTD                                -0.4424580817 0.07838961
AUDIENCE INC                                -0.4682607400 0.07838961
AUDIOCODES LTD                              -0.5220144974 0.07838961
AUDIOEYE INC                                -0.4866916653 0.07838961
AULT INC                                    -0.5775143063 0.07838961
