$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
@ROAD, INC                                  -0.553597596 0.1212588 -0.004727251
2U, LLC                                     -0.623349376 0.1212588 -0.004727251
3AM TECHNOLOGIES INC                        -0.516408142 0.1212588 -0.004727251
3COM CORP                                   -0.546434805 0.1212588 -0.004727251
3D SYSTEMS CORP                             -0.510858614 0.1212588 -0.004727251
3FORCES INC.                                -0.527344734 0.1212588 -0.004727251
724 SOLUTIONS INC                           -0.492851752 0.1212588 -0.004727251
A10 Networks, Inc.                          -0.571434434 0.1212588 -0.004727251
Ability Inc.                                -0.642069947 0.1212588 -0.004727251
ABOUT, INC.                                 -0.467406730 0.1212588 -0.004727251
ABSOLUTE ENTERTAINMENT INC                  -0.543053561 0.1212588 -0.004727251
ABSOLUTE SOFTWARE CORP                      -0.623429203 0.1212588 -0.004727251
Acacia Communications, Inc.                 -0.588337632 0.1212588 -0.004727251
ACCELRYS, INC.                               0.188140067 0.1212588 -0.004727251
ACCESS CORP                                 -0.521921901 0.1212588 -0.004727251
ACI WORLDWIDE, INC.                         -0.548188961 0.1212588 -0.004727251
ACME PACKET INC                             -0.556725833 0.1212588 -0.004727251
ACT MANUFACTURING INC                       -0.711657032 0.1212588 -0.004727251
ACT NETWORKS INC                            -0.535792207 0.1212588 -0.004727251
ACTIVE NETWORK INC                          -0.591651479 0.1212588 -0.004727251
ACTIVECARE, INC.                            -0.544954286 0.1212588 -0.004727251
Activision Blizzard, Inc.                   -0.605366105 0.1212588 -0.004727251
ACTUATE CORP                                -0.485675125 0.1212588 -0.004727251
ADAM INC                                    -0.303541356 0.1212588 -0.004727251
ADAPTIVE INSIGHTS INC                       -0.671103071 0.1212588 -0.004727251
ADAPTIVE SOLUTIONS INC                      -0.650533351 0.1212588 -0.004727251
ADESTO TECHNOLOGIES Corp                    -0.616032092 0.1212588 -0.004727251
ADOBE INC.                                  -0.569374068 0.1212588 -0.004727251
ADVA INTERNATIONAL INC                      -0.427641726 0.1212588 -0.004727251
ADVANCE CIRCUITS INC                        -0.554318970 0.1212588 -0.004727251
ADVANCED COMMUNICATION SYSTEMS INC          -0.611889355 0.1212588 -0.004727251
ADVANCED ENERGY INDUSTRIES INC              -0.590049777 0.1212588 -0.004727251
ADVANCED MEDIA INC                          -0.570771928 0.1212588 -0.004727251
ADVANCED MICRO DEVICES INC                  -0.567756094 0.1212588 -0.004727251
ADVANCED PHOTONIX INC                       -0.579118949 0.1212588 -0.004727251
Advanced Resources Group, Ltd.              -0.574484461 0.1212588 -0.004727251
ADVANTEST CORP                              -0.504101744 0.1212588 -0.004727251
Aegis Identity Software, Inc.               -0.612078070 0.1212588 -0.004727251
AEL INDUSTRIES INC                          -0.623200269 0.1212588 -0.004727251
AEROFLEX INC                                -0.501886963 0.1212588 -0.004727251
AEROHIVE NETWORKS, INC                      -0.289290425 0.1212588 -0.004727251
AESP INC                                    -0.621585996 0.1212588 -0.004727251
Afiniti, Ltd.                               -0.523115782 0.1212588 -0.004727251
AFN INC                                     -0.115640400 0.1212588 -0.004727251
AFR Inc.                                    -0.624241542 0.1212588 -0.004727251
AGILE SOFTWARE CORP                         -0.599835780 0.1212588 -0.004727251
AGILYSYS INC                                -0.549381736 0.1212588 -0.004727251
Agora, Inc.                                 -0.656418784 0.1212588 -0.004727251
AIRGAIN INC                                 -0.518526775 0.1212588 -0.004727251
AIRSPAN NETWORKS INC                        -0.239527706 0.1212588 -0.004727251
AIRVANA INC                                 -0.634486066 0.1212588 -0.004727251
Alarum Technologies Ltd.                    -0.569112588 0.1212588 -0.004727251
ALCATEL LUCENT                              -0.617774031 0.1212588 -0.004727251
ALCATEL-LUCENT USA INC.                     -0.662219710 0.1212588 -0.004727251
Alfi, Inc.                                  -0.408241599 0.1212588 -0.004727251
Alien Technology Corp                       -0.349333988 0.1212588 -0.004727251
ALKAMI TECHNOLOGY, INC.                     -0.668628856 0.1212588 -0.004727251
