$contributor.employer.matched
                                             (Intercept) cycle2020    cycle2024
@ROAD, INC                                  -0.553561165 0.1212588 -0.004727353
2U, LLC                                     -0.623348103 0.1212588 -0.004727353
3AM TECHNOLOGIES INC                        -0.516406159 0.1212588 -0.004727353
3COM CORP                                   -0.546428925 0.1212588 -0.004727353
3D SYSTEMS CORP                             -0.510857667 0.1212588 -0.004727353
3FORCES INC.                                -0.527330879 0.1212588 -0.004727353
724 SOLUTIONS INC                           -0.492867499 0.1212588 -0.004727353
A10 Networks, Inc.                          -0.571431473 0.1212588 -0.004727353
Ability Inc.                                -0.642053947 0.1212588 -0.004727353
ABOUT, INC.                                 -0.467411769 0.1212588 -0.004727353
ABSOLUTE ENTERTAINMENT INC                  -0.543026152 0.1212588 -0.004727353
ABSOLUTE SOFTWARE CORP                      -0.623418198 0.1212588 -0.004727353
Acacia Communications, Inc.                 -0.588333820 0.1212588 -0.004727353
ACCELRYS, INC.                               0.188043496 0.1212588 -0.004727353
ACCESS CORP                                 -0.521920852 0.1212588 -0.004727353
ACI WORLDWIDE, INC.                         -0.548187710 0.1212588 -0.004727353
ACME PACKET INC                             -0.556686710 0.1212588 -0.004727353
ACT MANUFACTURING INC                       -0.711623576 0.1212588 -0.004727353
ACT NETWORKS INC                            -0.535771082 0.1212588 -0.004727353
ACTIVE NETWORK INC                          -0.591648970 0.1212588 -0.004727353
ACTIVECARE, INC.                            -0.544938622 0.1212588 -0.004727353
Activision Blizzard, Inc.                   -0.605364306 0.1212588 -0.004727353
ACTUATE CORP                                -0.485691546 0.1212588 -0.004727353
ADAM INC                                    -0.303569480 0.1212588 -0.004727353
ADAPTIVE INSIGHTS INC                       -0.671080115 0.1212588 -0.004727353
ADAPTIVE SOLUTIONS INC                      -0.650478942 0.1212588 -0.004727353
ADESTO TECHNOLOGIES Corp                    -0.615975285 0.1212588 -0.004727353
ADOBE INC.                                  -0.569372995 0.1212588 -0.004727353
ADVA INTERNATIONAL INC                      -0.427713567 0.1212588 -0.004727353
ADVANCE CIRCUITS INC                        -0.554309644 0.1212588 -0.004727353
ADVANCED COMMUNICATION SYSTEMS INC          -0.611822780 0.1212588 -0.004727353
ADVANCED ENERGY INDUSTRIES INC              -0.590044684 0.1212588 -0.004727353
ADVANCED MEDIA INC                          -0.570739679 0.1212588 -0.004727353
ADVANCED MICRO DEVICES INC                  -0.567754520 0.1212588 -0.004727353
ADVANCED PHOTONIX INC                       -0.579060609 0.1212588 -0.004727353
Advanced Resources Group, Ltd.              -0.574430034 0.1212588 -0.004727353
ADVANTEST CORP                              -0.504101094 0.1212588 -0.004727353
Aegis Identity Software, Inc.               -0.611991483 0.1212588 -0.004727353
AEL INDUSTRIES INC                          -0.623126324 0.1212588 -0.004727353
AEROFLEX INC                                -0.501887134 0.1212588 -0.004727353
AEROHIVE NETWORKS, INC                      -0.289330576 0.1212588 -0.004727353
AESP INC                                    -0.621561808 0.1212588 -0.004727353
Afiniti, Ltd.                               -0.523114148 0.1212588 -0.004727353
AFN INC                                     -0.115654956 0.1212588 -0.004727353
AFR Inc.                                    -0.624234299 0.1212588 -0.004727353
AGILE SOFTWARE CORP                         -0.599759608 0.1212588 -0.004727353
AGILYSYS INC                                -0.549380329 0.1212588 -0.004727353
Agora, Inc.                                 -0.656414680 0.1212588 -0.004727353
AIRGAIN INC                                 -0.518524179 0.1212588 -0.004727353
AIRSPAN NETWORKS INC                        -0.239705958 0.1212588 -0.004727353
AIRVANA INC                                 -0.634437763 0.1212588 -0.004727353
Alarum Technologies Ltd.                    -0.569062831 0.1212588 -0.004727353
ALCATEL LUCENT                              -0.617772586 0.1212588 -0.004727353
ALCATEL-LUCENT USA INC.                     -0.662168026 0.1212588 -0.004727353
Alfi, Inc.                                  -0.408330008 0.1212588 -0.004727353
Alien Technology Corp                       -0.349406122 0.1212588 -0.004727353
ALKAMI TECHNOLOGY, INC.                     -0.668619570 0.1212588 -0.004727353
ALLAIRE CORP                                -0.562959954 0.1212588 -0.004727353
ALLEGRO MICROSYSTEMS, INC.                  -0.478861282 0.1212588 -0.004727353
Allot Ltd.                                  -0.551196183 0.1212588 -0.004727353
ALPHA & OMEGA SEMICONDUCTOR Ltd              0.159651710 0.1212588 -0.004727353
Alphabet Inc.                               -0.553146285 0.1212588 -0.004727353
ALPS ALPINE CO., LTD.                       -0.560041522 0.1212588 -0.004727353
ALR TECHNOLOGIES INC.                       -0.640074404 0.1212588 -0.004727353
Altair Engineering Inc.                     -0.607626503 0.1212588 -0.004727353
ALTERA CORP                                 -0.568106652 0.1212588 -0.004727353
Alteryx, Inc.                               -0.591625570 0.1212588 -0.004727353
ALTIGEN COMMUNICATIONS INC                  -0.591011848 0.1212588 -0.004727353
ALTRON INC                                  -0.624479556 0.1212588 -0.004727353
AM COMMUNICATIONS INC                       -0.391557253 0.1212588 -0.004727353
AMANDA CO INC                               -0.405398514 0.1212588 -0.004727353
AMBARELLA INC                               -0.568089369 0.1212588 -0.004727353
Amber Road, Inc.                            -0.436788043 0.1212588 -0.004727353
Ambiq Micro, Inc.                           -0.154366305 0.1212588 -0.004727353
AMDOCS LTD                                  -0.545051648 0.1212588 -0.004727353
AMERICAN ELECTRONIC COMPONENTS INC           0.216589398 0.1212588 -0.004727353
AMERICAN TECHNICAL CERAMICS CORP            -0.545354777 0.1212588 -0.004727353
AMERICAN TOWER CORP                         -0.529986683 0.1212588 -0.004727353
Amesite Inc.                                -0.397212734 0.1212588 -0.004727353
AMICAS, Inc.                                -0.568375551 0.1212588 -0.004727353
AMIS HOLDINGS INC                           -0.344625403 0.1212588 -0.004727353
AMKOR TECHNOLOGY, INC.                      -0.564703087 0.1212588 -0.004727353
AMP INC                                     -0.354887882 0.1212588 -0.004727353
AMPEX CORP                                  -0.605012456 0.1212588 -0.004727353
Amplitude, Inc.                             -0.601034995 0.1212588 -0.004727353
ANADIGICS INC                               -0.443713489 0.1212588 -0.004727353
ANALEX CORP                                 -0.532188481 0.1212588 -0.004727353
ANALOG DEVICES INC                          -0.528756748 0.1212588 -0.004727353
ANALYSTS INTERNATIONAL CORP                 -0.639048032 0.1212588 -0.004727353
ANALYTICAL GRAPHICS INC                     -0.662024295 0.1212588 -0.004727353
Anaplan, Inc.                               -0.506495350 0.1212588 -0.004727353
ANAREN  INC                                 -0.621029149 0.1212588 -0.004727353
ANSA COMMUNICATIONS INC                     -0.540990769 0.1212588 -0.004727353
Answers CORP                                -0.673745819 0.1212588 -0.004727353
ANSYS INC                                   -0.518386988 0.1212588 -0.004727353
ANTEC CORP                                  -0.530568375 0.1212588 -0.004727353
AOL LLC                                     -0.624021738 0.1212588 -0.004727353
APERTURE TECHNOLOGIES INC                   -0.536346488 0.1212588 -0.004727353
APEX INC                                    -0.505218705 0.1212588 -0.004727353
API Technologies Corp.                      -0.830352819 0.1212588 -0.004727353
Apigee Corp                                 -0.780770877 0.1212588 -0.004727353
APPDYNAMICS INC                             -0.570199784 0.1212588 -0.004727353
APPFOLIO INC                                -0.608813176 0.1212588 -0.004727353
Appgate, Inc.                               -0.496478511 0.1212588 -0.004727353
APPIAN, INC.                                -0.512884176 0.1212588 -0.004727353
Apple Inc.                                  -0.592940049 0.1212588 -0.004727353
APPLIED ENERGETICS, INC.                    -0.600791381 0.1212588 -0.004727353
APPLIED INNOVATION INC                       0.351039093 0.1212588 -0.004727353
APPLIED MICRO CIRCUITS CORP                 -0.630452709 0.1212588 -0.004727353
APPLIED OPTOELECTRONICS, INC.               -0.762503115 0.1212588 -0.004727353
APPLIED SYSTEMS INC                         -0.607399587 0.1212588 -0.004727353
AppLovin Corp                               -0.588904299 0.1212588 -0.004727353
Apptio Inc                                  -0.566956204 0.1212588 -0.004727353
APRECIA INC                                 -0.461240964 0.1212588 -0.004727353
Aprimo, INC                                 -0.643950882 0.1212588 -0.004727353
Apttus Corp                                 -0.536355933 0.1212588 -0.004727353
APTUS CORP                                  -0.321237844 0.1212588 -0.004727353
AQUANTIA CORP                               -0.632367249 0.1212588 -0.004727353
ARIBA INC                                   -0.617248367 0.1212588 -0.004727353
ARIEL CORP                                   0.450936111 0.1212588 -0.004727353
ARIS CORP/                                  -0.620380195 0.1212588 -0.004727353
Arise Technologies Inc.                     -0.422867318 0.1212588 -0.004727353
Arista Networks, Inc.                       -0.555718757 0.1212588 -0.004727353
ARKONA INC                                  -0.566679855 0.1212588 -0.004727353
ARM HOLDINGS PLC                            -0.499174581 0.1212588 -0.004727353
Array Technologies, Inc.                    -0.656265153 0.1212588 -0.004727353
ARRIS GROUP INC                             -0.788914473 0.1212588 -0.004727353
ARRIS International plc                     -0.609853822 0.1212588 -0.004727353
Arteris, Inc.                               -0.460999112 0.1212588 -0.004727353
ARUBA NETWORKS, INC.                        -0.654297225 0.1212588 -0.004727353
ASA INTERNATIONAL LTD                       -0.258874751 0.1212588 -0.004727353
